dataid,last_season,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,dh,ph,pr
cabaj001,2025,1138,990,142,226,51,3,18,106,7,9,30,102,1,298,119,30,7,0,14,11,15,39
cabbt001,2024,147,139,17,29,11,0,2,15,0,1,1,6,0,60,2,2,2,0,0,3,14,6
cabre003,2025,7,7,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
cabrg001,2025,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
cabro002,2025,987,892,122,204,36,1,21,97,7,7,5,76,1,219,15,5,14,0,11,3,14,23
caglj001,2025,232,210,19,33,6,1,7,18,0,0,4,18,0,52,1,0,4,0,0,7,2,0
caiso001,2025,27,26,4,5,1,0,1,4,0,0,0,1,0,11,0,0,0,0,0,1,4,0
calhw001,2024,1339,1217,140,293,57,5,42,140,0,9,10,103,2,194,0,3,23,0,10,162,42,2
calla002,2025,1020,869,120,212,39,4,21,96,9,6,17,119,0,184,19,13,11,0,11,9,36,14
callt001,2025,6,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
camaj002,2024,7,6,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,1,0
camed001,2025,472,435,55,87,16,3,11,42,0,2,4,31,0,141,15,0,8,0,2,4,20,16
camen001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camij001,2025,870,805,112,209,38,1,52,135,0,7,4,54,3,172,9,1,35,0,12,11,5,0
campg001,2025,114,104,15,21,1,1,4,14,0,0,5,5,0,22,7,1,2,0,1,1,2,2
campi001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
campk002,2025,263,229,24,51,10,0,6,21,0,1,4,29,0,72,2,1,1,0,1,1,4,0
campl002,2025,593,547,70,131,21,0,17,77,0,3,5,38,0,98,0,0,25,0,5,21,24,0
canaa001,2025,279,258,30,59,8,2,8,28,0,1,1,19,0,99,4,1,5,0,4,6,13,4
candj002,2025,3590,3195,410,757,190,18,110,384,0,19,49,326,7,857,19,10,51,1,39,62,20,2
canhm001,2025,4182,3590,527,886,179,14,122,468,1,34,142,415,9,859,50,12,72,0,53,130,111,7
canng001,2025,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
cannj001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canoy001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cantj002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canzd001,2025,668,612,74,147,31,0,25,71,0,4,4,47,2,154,5,1,17,1,6,34,38,4
capec001,2024,153,133,14,37,5,1,3,14,0,2,1,17,0,37,7,4,3,0,0,9,7,5
caprv001,2025,142,128,16,17,4,0,1,7,4,2,1,7,0,34,2,0,6,0,3,5,13,6
caram001,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carav001,2025,2248,1988,216,484,75,1,58,247,3,21,48,188,12,461,5,3,64,0,23,54,142,0
carld002,2025,2009,1770,212,413,93,11,43,195,1,20,33,185,3,463,17,8,23,0,17,8,48,14
carpk001,2025,1391,1269,183,340,56,13,73,203,0,7,22,86,7,346,7,3,14,7,7,133,47,0
carpm002,2024,5968,5028,837,1294,338,29,185,680,12,58,76,791,40,1284,29,19,41,3,31,140,216,2
carra002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrc003,2025,40,31,1,2,0,0,0,1,8,0,0,1,0,18,0,0,0,0,3,0,0,0
carrc005,2025,2168,1891,369,489,94,44,85,259,10,18,34,215,6,453,128,21,17,0,18,8,18,4
carte001,2025,529,460,78,112,28,5,16,58,0,2,11,56,2,127,22,2,4,0,4,6,16,1
casac001,2024,1582,1370,157,298,61,1,48,162,13,8,22,169,7,425,2,2,22,0,17,12,59,1
casat001,2025,952,816,110,197,33,2,45,120,0,2,4,130,8,253,1,1,20,0,6,4,20,0
caspb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castb003,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castd002,2024,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
castd004,2024,292,269,31,56,14,0,11,31,0,4,3,16,1,76,1,1,7,0,7,3,21,1
casth002,2024,7,6,1,3,0,0,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0
castj007,2025,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castl003,2025,224,200,8,22,4,0,0,5,20,0,0,4,0,90,0,0,2,0,3,0,0,0
castl004,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castm002,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castn001,2025,7130,6580,847,1778,409,43,257,941,0,53,55,442,21,1661,43,22,148,0,69,73,27,1
castw003,2025,2608,2341,342,571,109,24,56,229,10,16,63,178,3,629,75,28,39,0,21,16,39,22
cavac001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cavej001,2024,1572,1437,190,339,68,16,45,176,5,11,21,98,3,485,13,6,18,0,19,12,52,26
ceasd001,2025,8,8,1,3,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
ceccs001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chafa001,2025,5,5,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
chanb001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapa001,2025,3,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
chapa002,2025,205,187,16,38,14,0,5,20,0,1,5,12,0,46,1,1,3,0,1,24,8,1
chapm001,2025,4797,4189,662,1007,254,23,203,566,0,31,57,520,6,1265,35,18,73,0,42,3,5,0
charj001,2024,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
chavj001,2025,26,22,0,2,0,0,0,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0
chent001,2025,7,7,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0
chiry001,2024,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
chisj001,2025,2446,2200,324,537,81,16,111,311,5,14,21,205,6,671,136,37,17,1,25,5,16,1
chiva001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chouj001,2025,1209,1121,174,308,67,8,46,168,2,9,6,71,5,252,44,14,21,0,12,4,6,1
churm001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
churn001,2025,65,56,9,10,1,0,1,8,2,1,3,3,0,18,1,0,0,0,3,0,0,3
cimba001,2024,6,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
cisnj001,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
civaa001,2025,4,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
clard004,2025,159,148,18,34,8,2,3,8,2,0,3,6,0,61,6,0,1,0,0,0,0,1
clart003,2025,28,27,2,7,0,0,1,2,1,0,0,0,0,12,0,0,0,0,0,0,0,0
clase001,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clasj001,2025,178,161,17,36,5,0,3,14,1,0,3,13,0,45,6,2,2,0,0,3,4,6
cleag001,2025,3,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
cleme002,2025,1481,1386,186,372,71,7,26,135,14,11,12,58,2,156,20,10,31,0,22,9,40,26
clemk001,2025,786,723,91,150,33,5,33,101,2,4,7,50,1,197,6,1,8,0,1,11,48,13
clevm001,2025,11,10,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
